仪器配件,,,
仪器,配件名称,库存个数,存放位置
液质,HPLC 安捷伦 色谱柱 SB-C18 4.6×250mm 5-micron,4,中401
,HPLC 安捷伦 色谱柱 120PFP 3.0×100mm 2.7-micron,1,中401
,HPLC 安捷伦 ZORBAX SB-A去4.6 ×250mm 5-micron,1,中401
,HPLC Poroshell 120PFP 2.1×100mm 2.7-micron,1,中401
,HPLC ZORBAX Eclipse XDB-C18 2.1×50mm 3.5-micron,2,中401
,HPLC CAPCELL PAK C18 4.6×250mm,2,北204
,extendC18 5微米 4.6×250mm,1,北204
,zorbax sb C18 5微米 4.6×250mm,4,北204
,themo acclaim 120 C18 5微米 120A 4.6×250mm,1,北204
,eclipse plus C18 5微米 4.6×100mm,1,北204
,phenomenex luna 3u NH2 100R 150×2.00mm 3micro,1,北204
,TSKgelUP-SW2000(2um，4.6mm IDx30·cm),1,北204
气质,Agilent GC columns 122-7032E DB-WAX,1,中401
,Agilent GC columns 122-5032 DB-5,1,中401
,Agilent GC columns CP7240 SELECT FAME,1,中401
