仪器设备统计表,,,,
资产编号,仪器名称,品牌,仪器型号,存放地点
ZY2023000001,高压灭菌锅,致微,GI54DS,北205
TY2023000077,海尔-80度超低温冰箱,海尔,DW-86L726G,北201
TY2023000076,氢空发生器,汇龙,BJHL-QKFSQ,北204
TY2023000075,Bio-Rad伯乐转印槽,伯乐,Mini Trans-Blot,北205
TY2023000074,电热恒温干燥箱,科恒,202-3ES,北201
TY2023000073,漩涡振荡仪,科恒,VORTEX-3,北205
TY2023000043,多联油浴锅（4联博华）,博华,ZNCL-DG,北201
TY2023000026,天平,Mettler-Toledo(梅特勒托利多）,ME203 千分之一,北202
TY2023000025,PH计,Mettler-Toledo(梅特勒托利多）,FE28-Standard,北206
TY2023000024,PH计,Mettler-Toledo(梅特勒托利多）,FE28-Standard,北206
TY2023000023,恒温多头磁力加入搅拌器,荣华,HJ-6A,北201
TY2023000022,超声清洗器,知信,ZX-500DE,北201
TY2023000021,超声清洗器,知信,ZX-500DE,北201
TY2023000019,天平,Mettler-Toledo(梅特勒托利多）,ME204  万分之一,北202
TY2023000017,立式双人双面超净工作台,国产,SW-CJ-2F,北205
TY2023000016,电热恒温培养箱,一恒,DHP-9162,北205
TY2023000008,顶空进样器,岛津 （进口）,HS-20NX,北204
TY2023000007,全波长酶标仪,TECAN,Infinite M nano,北205
TY2022000089,脂肪测定仪（V1.0操作系统）,海能,SOX606,北206
TY2022000036,质构仪,TA,TA。new plus,北203
TY2021000066,紫外可见分光光度计,普析通用,TU-1950,北204
TY2021000063,电子天平,,BSM523,北202
TY2021000027,气相离子迁移谱联用仪,G.A.S./FlavourSpec？,G.A.S./FlavourSpec？,北203
TY2021000026,非电子嗅觉感官分析仪（电子鼻）,ALPHA- MOS/HERACLES,ALPHA- MOS/HERACLES,北203
TY2021000025,味觉感官分析系统（电子舌）,"ALPHA MOS, ASTREE II","ALPHA MOS, ASTREE II",北203
TY2021000015,单道可调量程移液器,欧牌,DH100-2,北203
TY2021000007,防爆柜,江苏邦盛,22加仑,北206
TY2020000098,冰箱,海尔,BCD-481WGH,北207
TY2020000084,PH计,FE28,FE28,北206
TY2020000067,电冰箱,海尔,BC/BD-718HD,北205
TY2020000064,会议平板,皓丽,HorionE系列55英寸,北409
TY2020000056,微型高速离心机,奥盛,mini-15K,北206
TY2020000055,磁力加热搅拌器,上海振荣,90-5,北412
TY2020000054,脱色摇床,其林贝尔,TS-1000,北206
TY2020000053,防腐电热板,永光明,DB-1,北206
TY2020000052,防腐电热板,永光明,DB-1,北206
TY2020000051,电泳系统,BIO-RAD,1645050+1704483+1656001,北205
TY2020000042,便携式计算机,华硕,P2451FB10510089F2,中410
TY2020000031,防爆化学药品柜,,45加仑,饲料所北库
TY2020000008,全自动定氮仪,,海能K9860,北206
TY2019000107,超声波破碎仪,,VCX750,北206
TY2019000106,嗅辨仪,,,北204
TY2019000088,肌肉嫩度仪,,C-LM3B,北206
TY2019000087,肉品系水力测定仪,,RH-1000,北203
TY2019000086,固相微萃取仪,,mpme-gc,北204
TY2019000076,制冰机,,SIM-F140AY65-PC,北201
TY2018000220,电热鼓风干燥箱,,GZX-9023MBE,北206
TY2018000118,电热鼓风干燥箱,,GZX-9023MBE,北206
TY2018000117,酸度计,,FE28,北206
TY2018000116,多管旋涡混合仪,,MS200,北206
TY2018000115,旋涡振荡器,,Vorte2,北206
TY2018000114,旋转蒸发仪,,VAP-valueML,北206
TY2018000086,背膘仪,,series12,北411
TY2018000085,分散器,,T25,北206
TY2018000084,酸度计,,FE28,北206
TY2018000027,真空油泵,,2XZ（S）-2,北206
TY2018000026,试管浓缩仪,,TC-8F,北206
TY2017000202,台式计算机,清华同方,超翔Z8000-62757,中410
TY2017000182,移液器,艾本德,20-200ul,北206
TY2017000181,移液器,艾本德,10-100ul,北206
TY2017000180,移液器,艾本德,100-1000ul,北206
TY2017000179,移液器,艾本德,100-1000ul,北206
TY2017000178,移液器,艾本德,1-10ml,北206
TY2015000265,取样器,,GR-150-050,北206
TY2015000264,取样器,,GR-150-050,北206
TY2014000178,应变控制式无侧限压力仪,,YYW-2型,地下室10号库
TY2014000177,恒温水浴锅,,HH.S21-6双列六孔,北411
