试剂耗材统计表,,,,,,,,,,,,,,,,,,,,,,,,,,,
试剂/耗材名称,品牌,规格,采购时间,有效期,单价,存放位置,库存总量,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
五氧化二磷,麦克林,500g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
乙酸锌，二水化合物,麦克林,500g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
L-赖氨酸,麦克林,100g/瓶,,,,北205,1,,,,,,,,,,,,,,,,,,,,
盐酸硫胺,麦克林,100g/瓶,,,,202-4度,1,,,,,,,,,,,,,,,,,,,,
硼酸,麦克林,500g/瓶,,,,北205药品柜,2,,,,,,,,,,,,,,,,,,,,
D木糖,麦克林,100g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
柱层层析硅胶100-200目,麦克林,250g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
氯化钠,麦克林,500g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
D无水葡萄糖,麦克林,500g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
酚酞指示剂,麦克林,100ml/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
甘油三丁酸酯,源叶,5ml/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
tris-hcl缓冲液,源叶,100ml/瓶,,2025/10/11,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
氢氧化钠滴定溶液标准物质,伟业,500ml/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
果糖,麦克林,25g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
烟酰胺标准品,阿拉丁,1g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
烟酸标准品,阿拉丁,1g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
2-氯苯丙氨酸,麦克林,1g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
vitaminB2,lgc,100mg/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
1-庚烷磺酸钠离子对色谱级,麦克林,5g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
维生素B1盐酸盐标准品,l g c,250mg/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
L-谷氨酸,麦克林,100g/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
正庚烷,麦克林,500ml/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
正庚烷,源叶,500ml/瓶,,,,北205药品柜,1,,,,,,,,,,,,,,,,,,,,
